tv_ticker,exchange,local_symbol,vendor_symbol,mcap_band,mcap_decile_file,us_listed,symbol_needs_manual_map
NSE:PAYTM,NSE,PAYTM,PAYTM.NS,$13B-7B,3,N,N
NYSE:GME,NYSE,GME,GME,$13B-7B,3,Y,N
NYSE:PRI,NYSE,PRI,PRI,$13B-7B,3,Y,N
NASDAQ:FROG,NASDAQ,FROG,FROG,$13B-7B,3,Y,N
LSE:IMI,LSE,IMI,IMI.L,$13B-7B,3,N,N
SZSE:002027,SZSE,002027,002027.SZ,$13B-7B,3,N,N
NYSE:PSO,NYSE,PSO,PSO,$13B-7B,3,Y,N
HKEX:1818,HKEX,1818,1818.HK,$13B-7B,3,N,N
NSE:NHPC,NSE,NHPC,NHPC.NS,$13B-7B,3,N,N
NYSE:HLI,NYSE,HLI,HLI,$13B-7B,3,Y,N
NASDAQ:HSIC,NASDAQ,HSIC,HSIC,$13B-7B,3,Y,N
NYSE:ADC,NYSE,ADC,ADC,$13B-7B,3,Y,N
NYSE:BEPI,NYSE,BEPI,BEPI,$13B-7B,3,Y,N
EURONEXT:BIM,EURONEXT,BIM,,$13B-7B,3,N,Y
KRX:278470,KRX,278470,,$13B-7B,3,N,Y
NYSE:MGRB,NYSE,MGRB,MGRB,$13B-7B,3,Y,N
EURONEXT:SPIE,EURONEXT,SPIE,,$13B-7B,3,N,Y
NYSE:LEVI,NYSE,LEVI,LEVI,$13B-7B,3,Y,N
SZSE:002202,SZSE,002202,002202.SZ,$13B-7B,3,N,N
NYSE:MGRD,NYSE,MGRD,MGRD,$13B-7B,3,Y,N
TSE:2801,TSE,2801,2801.T,$13B-7B,3,N,N
NYSE:RDY,NYSE,RDY,RDY,$13B-7B,3,Y,N
OMXSTO:SAVE,OMXSTO,SAVE,SAVE.ST,$13B-7B,3,N,N
OMXHEX:KESKOB,OMXHEX,KESKOB,KESKOB.HE,$13B-7B,3,N,N
NYSE:BEPH,NYSE,BEPH,BEPH,$13B-7B,3,Y,N
NYSE:MGRE,NYSE,MGRE,MGRE,$13B-7B,3,Y,N
