vendor_symbol,company_name,sector,industry,country,shares_outstanding,source
MICC,The Magnum Ice Cream Company N.V.,Consumer Defensive,Packaged Foods,Netherlands,612259739.0,yfinance
MIDD,The Middleby Corporation,Industrials,Specialty Industrial Machinery,United States,45214496.0,yfinance
MIMI,Mint Incorporation Limited,Industrials,Engineering & Construction,Hong Kong,6361627.0,yfinance
MIND,"MIND Technology, Inc.",Technology,Scientific & Technical Instruments,United States,9089055.0,yfinance
MINE,Mayfair Gold Corp.,Basic Materials,Gold,Canada,67138496.0,yfinance
MIR,"Mirion Technologies, Inc.",Industrials,Specialty Industrial Machinery,United States,243278092.0,yfinance
MIRA,"MIRA Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - General,United States,42022087.0,yfinance
MIRM,"Mirum Pharmaceuticals, Inc.",Healthcare,Biotechnology,United States,60981227.0,yfinance
MIST,Milestone Pharmaceuticals Inc.,Healthcare,Biotechnology,Canada,124497980.0,yfinance
MITK,"Mitek Systems, Inc.",Technology,Software - Application,United States,45158851.0,yfinance
MITQ,"Moving iMage Technologies, Inc.",Technology,Communication Equipment,United States,9941072.0,yfinance
MITT,"TPG Mortgage Investment Trust, Inc.",Real Estate,REIT - Mortgage,United States,31803475.0,yfinance
MKC,"McCormick & Company, Incorporated",Consumer Defensive,Packaged Foods,United States,254055150.0,yfinance
MKC-V,"McCormick & Company, Incorporated",Consumer Defensive,Packaged Foods,United States,14796402.0,yfinance
MKDW,MKDWELL Tech Inc.,Consumer Cyclical,Auto Parts,Taiwan,4198442.0,yfinance
MKL,Markel Group Inc.,Financial Services,Insurance - Property & Casualty,United States,12389958.0,yfinance
MKSI,MKS Inc.,Technology,Scientific & Technical Instruments,United States,67544129.0,yfinance
MKTW,"MarketWise, Inc.",Financial Services,Financial Data & Stock Exchanges,United States,2638780.0,yfinance
MKTX,MarketAxess Holdings Inc.,Financial Services,Capital Markets,United States,35192891.0,yfinance
MKZR,"MacKenzie Realty Capital, Inc.",Real Estate,REIT - Diversified,United States,2255114.0,yfinance
MLAB,"Mesa Laboratories, Inc.",Technology,Scientific & Technical Instruments,United States,5595869.0,yfinance
MLCI,Mount Logan Capital Inc.,Financial Services,Asset Management,United States,11188768.0,yfinance
MLEC,Moolec Science SA,Healthcare,Biotechnology,Cayman Islands,726118.0,yfinance
MLGO,MicroAlgo Inc.,Technology,Software - Infrastructure,China,10941519.0,yfinance
MLI,"Mueller Industries, Inc.",Industrials,Metal Fabrication,United States,221181388.0,yfinance
MLKN,"MillerKnoll, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",United States,68123238.0,yfinance
MLM,"Martin Marietta Materials, Inc.",Basic Materials,Building Materials,United States,60065839.0,yfinance
MLP,"Maui Land & Pineapple Company, Inc.",Real Estate,Real Estate Services,United States,19864606.0,yfinance
MLPB,UBS ETRACS Alerian MLP Infrastructure Index ETN Series B,,,,,yfinance
MLR,"Miller Industries, Inc.",Consumer Cyclical,Auto Parts,United States,,yfinance
MLSS,Milestone Scientific Inc.,Healthcare,Medical Instruments & Supplies,United States,88449412.0,yfinance
MLTX,MoonLake Immunotherapeutics,Healthcare,Biotechnology,Switzerland,85061685.0,yfinance
